storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_2day,ap_3day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
145,4,,,,,,,,,,,,,,,,40,2,21,0,0,N,0,0,M,7,13.78%,1/21/1994,1/24/1994,1,1994,2.48,9.77,2.44,0.12,0.37,0.09,0.68,2.67,0.67,0.03,0.09,0.02,9.9,39,9.75,0.6,0.9,0.23,NA,NA
146,1,,,,,,,,,,,,,,,,20,13,17,0.09,2,1,P,S,M,3,11.11%,1/26/1994,1/26/1994,1,1994,2.42,2.42,2.42,0.04,0.04,0.04,0.65,0.65,0.65,0.01,0.01,0.01,9.7,9.7,9.7,0.1,0.1,0.05,0.11,0.11
147,4,,,,,,,,,,,,,,,,55,21,37,0,0,N,0,0,M,7,19.29%,2/17/1994,2/20/1994,2,1994,2852.11,2965.83,741.46,2843.3,2943.69,735.92,1484.47,1533.42,383.36,1481.59,1526.52,381.63,124,164,41,110,112.5,28.13,NA,NA
148,4,,,,,,,,,,,,,,,,52,0,NA,0.25,0,N,P,0,M,3,24.33%,3/4/1994,3/7/1994,3,1994,773.78,1265.32,316.33,765.33,1233.34,308.34,373.66,520.6,130.15,371.2,510.89,127.72,42,105,26.25,32,56,14,NA,NA
149,3,4/4/1994 5:05,4/4/1994 23:00,1,0.202,0.18,0.09,0.064,0.06,0.053,0.061,17.917,0.011,0,0,0,43,20,33,0.81,2,2,P,S,M,2,19.02%,4/4/1994,4/6/1994,4,1994,5.82,14.92,4.97,1.99,3.78,1.26,1.48,4.1,1.37,0.6,0.96,0.32,11,33,11,0,0,0,0.38,0.58
150,2,4/12/1994 8:25,4/13/1994 9:20,1,0.743,0.492,0.468,0.44,0.414,0.352,2.052,24.917,0.03,0.014,0.014,0.088,56,40,47,0.93,0,0,P,0,0,1,,4/12/1994,4/13/1994,4,1994,18.12,30.63,15.32,15.41,25.21,12.61,11.32,16.34,8.17,10.51,14.72,7.36,15,28,14,5.1,6.1,3.05,0,0.74
151,5,4/14/1994 23:40,4/15/1994 5:40,1,0.744,0.552,0.522,0.512,0.498,0.445,2.773,6,0.124,0,0.743,0.757,88,38,56,0.62,0,0,P,0,0,1,,4/14/1994,4/18/1994,4,1994,132.47,208.95,41.79,123.88,154.74,30.95,65.18,79.14,15.83,62.25,64.98,13,22,73,14.6,10,13,2.6,0,0.74
152,4,4/24/1994 16:35,4/26/1994 11:55,2,2.812,1.464,1.272,1.032,0.684,0.43,13.517,43.333,0.065,0.084,0.084,0.084,85,37,62,2.26,0,0,P,0,0,1,,4/24/1994,4/27/1994,4,1994,2944.06,3135.59,783.9,2897.06,3026.91,756.73,1899.74,1981.07,495.27,1880.84,1938.87,484.72,59,116,29,39,45,11.25,0,2.81
153,3,4/28/1994 11:00,4/29/1994 11:20,1,0.394,0.144,0.138,0.132,0.108,0.104,0.211,24.333,0.016,0,1.433,2.898,47,33,40,0.51,NA,0,P,0,0,1,,4/28/1994,4/30/1994,4,1994,48.15,111.84,37.28,35.22,38.97,12.99,22.56,51.47,17.16,15.51,18.47,6.16,20,56,18.67,3,5,1.67,0,0.39
154,3,5/10/1994 23:10,5/11/1994 4:20,1,0.395,0.888,0.744,0.556,0.298,0.163,0.848,5.167,0.076,0,0,0.011,77,40,62,0.45,0,0,P,0,0,1,,5/10/1994,5/12/1994,5,1994,8.1,17.14,5.71,3.74,4.7,1.57,3.1,5.84,1.95,1.82,2.25,0.75,13,36,12,2,3,1,0,0.4
